Wt,Rt,Tt,Qt
7.869288462,0,27.82588462,0
7.838153846,0,27.77396154,0
7.830192308,0,27.73157692,0
7.875153846,0,27.71025,0
7.977288462,0,27.71367308,0
8.113019231,0,27.74380769,0
8.262153846,0.000596154,27.78617308,0
8.382596154,0.052115385,27.84313462,0
8.4135,0.167769231,27.90665385,0
8.330961538,0.305480769,27.96425,0
8.161,0.422192308,28.00115385,0
7.948096154,0.499923077,28.01242308,0
7.731692308,0.522980769,28.00296154,0
7.53975,0.487538462,27.98753846,0
7.399884615,0.410423077,27.97142308,0
7.340307692,0.294423077,27.96040385,0
7.34325,0.158288462,27.96086538,0
7.398711538,0.042365385,27.96613462,0
7.498807692,9.62E-05,27.96928846,0
7.600576923,0,27.97275,0
7.682057692,0,27.97876923,0
7.729519231,0,27.97353846,0
7.748846154,0,27.94703846,0
7.736115385,0,27.89894231,0
