t;Wt;Rt;Tt
0;7.505961538;0;27.77673077
1;7.495538462;0;27.71944231
2;7.468326923;0;27.67786538
3;7.48075;0;27.66255769
4;7.545153846;0;27.67019231
5;7.626423077;0;27.69405769
6;7.702423077;0.000846154;27.72367308
7;7.760865385;0.05725;27.76026923
8;7.771403846;0.169788462;27.79832692
9;7.705846154;0.293096154;27.83396154
10;7.585961538;0.398384615;27.86001923
11;7.432596154;0.465711538;27.8695
12;7.264519231;0.486711538;27.86201923
13;7.130346154;0.453461538;27.84763462
14;7.054807692;0.379326923;27.83709615
15;7.043096154;0.271673077;27.83640385
16;7.072884615;0.151865385;27.84651923
17;7.163192308;0.042192308;27.85913462
18;7.283442308;0.000173077;27.87321154
19;7.419365385;0;27.88994231
20;7.541615385;0;27.91190385
21;7.610730769;0;27.92475
22;7.672942308;0;27.91176923
23;7.697096154;0;27.87146154
