time;"	wind speed";irradiance direct;temperature
0;2.050566038;0;25.66283019
1;2.373584906;0;25.30660377
2;2.619245283;0;24.97867925
3;2.810377358;0;24.67301887
4;2.95754717;0;24.39358491
5;3.063773585;0;24.13396226
6;3.192264151;0;23.87867925
7;3.326792453;0;23.6390566
8;3.398113208;0;23.4445283
9;3.341886792;0;23.31716981
10;3.298490566;0;23.20358491
11;3.139433962;0.01509434;23.59339623
12;1.900188679;0.063018868;24.78735849
13;1.690566038;0.123584906;25.86377358
14;1.979622642;0.179245283;26.76849057
15;2.030754717;0.21509434;27.53169811
16;1.985849057;0.237169811;28.08735849
17;1.888867925;0.22490566;28.36320755
18;1.756981132;0.194150943;28.38811321
19;1.504716981;0.132830189;28.16641509
20;1.103396226;0.07245283;27.76943396
21;0.864339623;0.026981132;27.24245283
22;1.201886792;0.001509434;26.57981132
23;1.682264151;0;26.01660377
