time;"	wind speed";irradiance direct;temperature
0;2.197692308;0;25.55596154
1;2.540769231;0;25.20153846
2;2.784807692;0;24.90173077
3;2.958846154;0;24.62923077
4;3.061730769;0;24.37903846
5;3.118846154;0;24.15923077
6;3.133461538;0;23.96788462
7;3.158269231;0;23.79153846
8;3.24;0;23.62576923
9;3.3175;0;23.46211538
10;3.365961538;0;23.34538462
11;3.195769231;0.012884615;23.75269231
12;1.786923077;0.061730769;24.88557692
13;1.700384615;0.133076923;25.93096154
14;1.913076923;0.200576923;26.8475
15;1.872115385;0.252115385;27.66615385
16;1.795;0.272884615;28.27538462
17;1.723269231;0.266538462;28.56211538
18;1.631730769;0.222884615;28.56596154
19;1.427884615;0.149615385;28.32653846
20;1.092884615;0.080192308;27.91480769
21;0.853076923;0.027307692;27.38442308
22;1.242692308;0.001923077;26.69423077
23;1.740769231;0;26.12423077
