time;wind speed;irradiance direct;temperature
0;2.552115385;0;15.5775
1;2.628846154;0;15.27653846
2;2.675384615;0;14.965
3;2.651346154;0;14.64942308
4;2.580961538;0;14.34461538
5;2.509038462;0;14.05442308
6;2.484230769;0;13.76519231
7;2.498846154;0;13.5025
8;2.531153846;0;13.25884615
9;2.554230769;0;13.06923077
10;2.618653846;0;12.89653846
11;2.611153846;0.011346154;13.93865385
12;3.002115385;0.073846154;16.02423077
13;3.265;0.199615385;17.99596154
14;3.265769231;0.331923077;19.68519231
15;3.2125;0.416153846;20.90884615
16;3.372115385;0.427307692;21.61884615
17;3.630576923;0.364615385;21.78730769
18;3.815192308;0.258653846;21.46192308
19;3.884615385;0.155576923;20.76846154
20;3.788846154;0.078076923;19.81807692
21;3.473846154;0.025769231;18.66326923
22;2.898269231;0.001923077;17.18230769
23;2.593076923;0;16.01269231
